Name,Java,Scala
[Lowest Common Ancestor of a Binary Search Tree](https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/tree/recursive/LowestCommonAncestorOfABinarySearchTree.java),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-scala/blob/master/src/main/scala/tree/recursive/LowestCommonAncestorOfABinarySearchTree.scala)
[Lowest Common Ancestor of a Binary Tree](https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/tree/recursive/LowestCommonAncestorOfABinaryTree.java),
[Maximum Depth of Binary Tree](https://leetcode.com/problems/maximum-depth-of-binary-tree),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/tree/recursive/MaximumDepthOfBinaryTree.java),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-scala/blob/master/src/main/scala/tree/recursive/MaximumDepthOfBinaryTree.scala)
[Middle of the Linked List](https://leetcode.com/problems/middle-of-the-linked-list),[:arrow_right_hook:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/linked_list/iterative/MiddleOfTheLinkedList.java),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-scala/blob/master/src/main/scala/linked_list/recursive/MiddleOfTheLinkedList.scala)
[Minimum Consecutive Cards to Pick Up](https://leetcode.com/problems/minimum-consecutive-cards-to-pick-up),[:arrow_right_hook:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/array/iterative/MinimumConsecutiveCardsToPickUp.java),
[Minimum Window Substring](https://leetcode.com/problems/minimum-window-substring),[:arrow_right_hook:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/array/iterative/MinimumWindowSubstring.java),
[Move Zeroes](https://leetcode.com/problems/move-zeroes),,[:arrows_counterclockwise:](https://github.com/leowajda/eureka-scala/blob/master/src/main/scala/array/recursive/MoveZeroes.scala)
[Palindrome Partitioning](https://leetcode.com/problems/palindrome-partitioning),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/string/recursive/PalindromePartitioning.java),
[Peak Index in a Mountain Array](https://leetcode.com/problems/peak-index-in-a-mountain-array),[:arrow_right_hook:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/array/iterative/PeakIndexInAMountainArray.java),
[Permutations](https://leetcode.com/problems/permutations),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/array/recursive/Permutations.java),
[Product of Array Except Self](https://leetcode.com/problems/product-of-array-except-self),[:arrow_right_hook:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/array/iterative/ProductOfArrayExceptSelf.java),
[Range Sum Query - Immutable](https://leetcode.com/problems/range-sum-query---immutable),[:arrow_right_hook:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/array/iterative/RangeSumQueryImmutable.java),
[Remove Duplicates from Sorted Array](https://leetcode.com/problems/remove-duplicates-from-sorted-array),,[:arrows_counterclockwise:](https://github.com/leowajda/eureka-scala/blob/master/src/main/scala/array/recursive/RemoveDuplicatesFromSortedArray.scala)
[Serialize and Deserialize Binary Tree](https://leetcode.com/problems/serialize-and-deserialize-binary-tree),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/tree/recursive/SerializeAndDeserializeBinaryTree.java),
[Sqrt(x)](https://leetcode.com/problems/sqrtx),[:arrow_right_hook:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/math/iterative/SqrtX.java),
[Subarray Sum Equals K](https://leetcode.com/problems/subarray-sum-equals-k),[:arrow_right_hook:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/array/iterative/SubarraySumEqualsK.java),
[Subsets](https://leetcode.com/problems/subsets),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/array/recursive/Subsets.java),
[Subtree of Another Tree](https://leetcode.com/problems/subtree-of-another-tree),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/tree/recursive/SubtreeOfAnotherTree.java),
[Two Sum II - Input Array Is Sorted](https://leetcode.com/problems/two-sum-ii---input-array-is-sorted),,[:arrows_counterclockwise:](https://github.com/leowajda/eureka-scala/blob/master/src/main/scala/array/recursive/TwoSumInputArrayIsSorted.scala)
[Two Sum](https://leetcode.com/problems/two-sum),[:arrow_right_hook:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/array/iterative/TwoSum.java),
[Valid Palindrome](https://leetcode.com/problems/valid-palindrome),,[:arrows_counterclockwise:](https://github.com/leowajda/eureka-scala/blob/master/src/main/scala/string/recursive/ValidPalindrome.scala)
[Validate Binary Search Tree](https://leetcode.com/problems/validate-binary-search-tree),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/tree/recursive/ValidateBinarySearchTree.java),
[Word Break](https://leetcode.com/problems/word-break),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/string/recursive/WordBreak.java),
